时间,食品类居民消费价格指数(上年同月=100),粮食类居民消费价格指数(上年同月=100),畜肉类居民消费价格指数(上年同月=100),蛋类居民消费价格指数(上年同月=100),水产品类居民消费价格指数(上年同月=100),鲜菜类居民消费价格指数(上年同月=100),鲜果类居民消费价格指数(上年同月=100),食用油居民消费价格指数(上年同月=100),猪肉居民消费价格指数(上年同月=100),牛肉居民消费价格指数(上年同月=100),羊肉居民消费价格指数(上年同月=100),奶类居民消费价格指数(上年同月=100),卷烟居民消费价格指数(上年同月=100),酒类居民消费价格指数(上年同月=100)
2025年6月,99.7,98.8,95.8,92.3,103.4,99.6,106.1,98.2,91.5,102.7,98.2,98.9,100.1,98.3
2025年5月,99.6,98.6,100.7,96.5,102.5,91.7,105.5,98.3,103.1,99.9,97.2,98.5,100.2,98.0
2025年4月,99.8,98.6,100.6,99.5,101.5,95.0,105.2,98.2,105.0,95.1,96.2,98.8,100.2,98.0
2025年3月,98.6,98.5,99.9,98.4,99.8,93.2,100.9,97.9,106.7,89.2,94.6,98.3,100.3,98.2
2025年2月,96.7,98.7,98.2,97.3,96.4,87.4,98.2,98.0,104.1,86.7,93.4,98.6,100.4,98.1
2025年1月,100.4,98.6,102.5,100.7,101.2,102.4,100.6,97.5,113.8,86.9,94.4,98.3,100.5,97.5
2024年12月,99.5,98.7,101.7,99.9,101.0,100.5,97.0,96.8,112.5,86.2,93.9,98.4,100.7,98.0
2024年11月,101.0,98.9,102.4,99.5,101.8,110.0,99.7,96.4,113.7,86.5,94.7,98.6,100.6,98.1
2024年10月,102.9,99.3,102.8,97.5,101.4,121.6,104.7,96.2,114.2,86.6,94.1,98.3,100.7,98.6
2024年9月,103.3,99.3,103.8,95.9,102.0,122.9,106.7,96.3,116.2,86.9,93.6,98.1,100.8,98.1
2024年8月,102.8,99.9,103.8,96.5,101.7,121.8,104.1,95.9,116.1,87.1,93.7,98.3,100.9,98.5
2024年7月,100.0,100.1,104.9,100.4,101.2,103.3,95.8,95.9,120.4,87.1,93.7,98.1,101.0,98.4
2024年6月,97.9,100.4,103.5,96.1,101.2,92.7,91.3,95.8,118.1,86.6,92.9,98.2,101.1,98.4
