时间,进出口总值_当期值,进出口总值_同比增长,进出口总值_累计值,进出口总值_累计增长,出口总值_当期值,出口总值_同比增长,出口总值_累计值,出口总值_累计增长,进口总值_当期值,进口总值_同比增长,进口总值_累计值,进口总值_累计增长,进出口差额_当期值,进出口差额_累计值
2025年4月,535204603.436,4.6,1969369494.174,1.3,315692374.988,8.1,1169063320.136,6.4,219512228.448,-0.2,800306174.038,-5.2,96180146.54,368757146.098
2025年3月,525181122.573,5.0,1434367498.42,0.2,313911793.171,12.4,853667441.891,5.8,211269329.402,-4.3,580700056.529,-7.0,102642463.8,272967385.4
2025年2月,398626224.565,-1.0,909366388.839,-2.4,215172518.641,-3.0,539940790.825,2.3,183453705.924,1.5,369425598.014,-8.4,31718812.717,170515192.811
2025年1月,510740164.274,-3.4,510740164.274,-3.4,324768272.184,6.0,324768272.184,6.0,185971892.09,-16.5,185971892.09,-16.5,138796380.094,138796380.094
2024年12月,566416163.623,6.5,6162288695.443,3.8,335627037.729,10.7,3577222028.0,5.9,230789125.894,1.0,2585066667.519,1.1,104837911.835,992155360.405
2024年11月,527177793.626,2.1,5596742584.61,3.6,312310466.438,6.7,3240708326.467,5.4,214867327.188,-3.9,2356034258.143,1.2,97443139.25,884674068.324
2024年10月,522398027.709,6.1,5067645943.149,3.7,309058423.068,12.7,2926455404.682,5.1,213339604.641,-2.3,2141190538.467,1.7,95718818.427,785264866.215
2024年9月,525713745.52,1.5,4545818016.125,3.4,303712134.496,2.4,2617660292.552,4.3,222001611.024,0.3,1928157723.573,2.2,81711000.0,689503000.0
2024年8月,526272969.509,5.2,4021034959.475,3.7,308647262.032,8.7,2314765892.495,4.6,217625707.477,0.5,1706269066.98,2.5,91022000.0,608497000.0
2024年7月,516466125.0,7.1,3495040968.0,3.5,300556525.0,7.0,2006521332.0,4.0,215909600.0,7.2,1488519636.0,2.8,84647000.0,518002000.0
2024年6月,516662500.0,3.9,2980142696.0,2.9,307854505.0,8.6,1707567002.0,3.6,208807983.0,-2.3,1272575694.0,2.0,99050000.0,434990000.0
