时间,生活资料工业生产者出厂价格指数(上月=100),食品类工业生产者出厂价格指数(上月=100),衣着类工业生产者出厂价格指数(上月=100),一般日用品类工业生产者出厂价格指数(上月=100),耐用消费品类工业生产者出厂价格指数(上月=100)
2025年6月,99.9,99.7,100.0,100.1,99.9
2025年5月,100.0,99.9,100.2,100.1,100.1
2025年4月,99.8,99.9,100.3,100.2,99.3
2025年3月,99.6,99.8,99.9,99.9,99.0
2025年2月,100.0,99.8,99.8,100.1,100.0
2025年1月,100.0,99.8,99.8,99.9,100.2
2024年9月,99.9,99.8,100.2,99.8,99.8
2024年8月,100.0,100.0,99.9,100.0,100.0
2024年7月,100.0,99.8,100.1,100.1,100.2
2024年6月,99.9,100.3,99.9,100.0,99.3
2024年12月,99.9,99.9,100.0,100.2,99.7
2024年11月,100.0,99.8,100.0,100.1,100.2
2024年10月,99.6,99.7,100.0,100.3,98.9
