时间,食品类居民消费价格指数(上月=100),粮食类居民消费价格指数(上月=100),畜肉类居民消费价格指数(上月=100),蛋类居民消费价格指数(上月=100),水产品类居民消费价格指数(上月=100),鲜菜类居民消费价格指数(上月=100),鲜果类居民消费价格指数(上月=100),食用油居民消费价格指数(上月=100),猪肉居民消费价格指数(上月=100),牛肉居民消费价格指数(上月=100),羊肉居民消费价格指数(上月=100),奶类居民消费价格指数(上月=100),卷烟居民消费价格指数(上月=100),酒类居民消费价格指数(上月=100)
2025年6月,99.6,100.0,99.4,97.1,100.7,100.7,96.7,99.8,98.8,100.2,100.1,100.2,99.9,99.7
2025年5月,99.8,99.8,99.8,99.1,100.8,94.1,103.3,99.9,99.3,101.3,99.9,99.7,100.0,99.7
2025年4月,100.2,99.9,99.9,99.0,101.2,98.2,102.2,99.8,98.4,103.9,100.3,100.0,100.0,100.0
2025年3月,98.6,100.0,97.8,97.3,99.8,94.9,98.4,99.9,95.6,100.5,99.6,100.0,100.0,100.6
2025年2月,99.5,100.0,99.1,94.5,101.2,96.2,101.8,100.0,98.1,99.4,100.2,99.9,100.0,99.7
2025年1月,101.3,99.9,100.4,99.4,102.7,105.9,103.3,99.7,101.0,99.9,100.2,99.3,100.0,99.2
2024年12月,99.4,100.0,98.7,100.2,100.1,97.6,99.0,100.0,97.9,99.2,99.6,99.9,100.1,99.9
2024年11月,97.3,99.7,98.1,99.2,98.7,86.8,97.0,100.0,96.6,99.3,99.8,100.2,100.0,99.7
2024年10月,98.8,100.0,98.0,98.0,98.0,97.0,99.0,99.9,96.3,99.5,99.7,100.1,100.0,100.6
2024年9月,100.8,99.8,100.4,102.1,99.5,104.3,102.1,99.7,100.4,100.4,99.7,99.6,100.0,99.1
2024年8月,103.4,99.9,103.6,102.8,100.2,118.1,103.8,100.1,107.3,100.0,99.5,100.0,100.0,99.8
2024年7月,101.2,99.7,100.8,103.7,100.4,109.3,99.7,99.4,102.0,99.1,99.5,99.9,100.1,100.2
2024年6月,99.4,99.9,104.5,101.5,99.8,92.7,96.2,100.0,111.4,97.5,99.1,99.8,100.0,99.4
