时间,外商及港澳台投资工业企业单位数_本月末,外商及港澳台投资工业企业亏损企业数_本月末,外商及港澳台投资工业企业亏损企业数_上年同期,外商及港澳台投资工业企业亏损企业数_增减,外商及港澳台投资工业企业流动资产合计_本月末,外商及港澳台投资工业企业流动资产合计_上年同期,外商及港澳台投资工业企业流动资产合计_增减,外商及港澳台投资工业企业应收账款_本月末,外商及港澳台投资工业企业应收账款_上年同期,外商及港澳台投资工业企业应收账款_增减,外商及港澳台投资工业企业存货_本月末,外商及港澳台投资工业企业存货_上年同期,外商及港澳台投资工业企业存货_增减,外商及港澳台投资工业企业产成品存货_本月末,外商及港澳台投资工业企业产成品存货_上年同期,外商及港澳台投资工业企业产成品存货_增减,外商及港澳台投资工业企业资产总计_本月末,外商及港澳台投资工业企业资产总计_上年同期,外商及港澳台投资工业企业资产总计_增减,外商及港澳台投资工业企业负债合计_本月末,外商及港澳台投资工业企业负债合计_上年同期,外商及港澳台投资工业企业负债合计_增减,外商及港澳台投资工业所有者权益合计_本月末,外商及港澳台投资工业所有者权益合计_上年同期,外商及港澳台投资工业所有者权益合计_增减,外商及港澳台投资工业企业营业收入_累计值,外商及港澳台投资工业企业营业收入_上年同期累计值,外商及港澳台投资工业企业营业收入_累计增长,外商及港澳台投资工业企业营业成本_累计值,外商及港澳台投资工业企业营业成本_上年同期累计值,外商及港澳台投资工业企业营业成本_累计增长,外商及港澳台投资工业企业销售费用_累计值,外商及港澳台投资工业企业销售费用_上年同期累计值,外商及港澳台投资工业企业销售费用_累计增长,外商及港澳台投资工业企业管理费用_累计值,外商及港澳台投资工业企业管理费用_上年同期累计值,外商及港澳台投资工业企业管理费用_累计增长,外商及港澳台投资工业企业财务费用_累计值,外商及港澳台投资工业企业财务费用_上年同期累计值,外商及港澳台投资工业企业财务费用_累计增长,外商及港澳台投资工业企业投资收益_累计值,外商及港澳台投资工业企业投资收益_上年同期累计值,外商及港澳台投资工业企业投资收益_累计增长,外商及港澳台投资工业企业营业利润_累计值,外商及港澳台投资工业企业营业利润_上年同期累计值,外商及港澳台投资工业企业营业利润_累计增长,外商及港澳台投资工业企业利润总额_累计值,外商及港澳台投资工业企业利润总额_上年同期累计值,外商及港澳台投资工业企业利润总额_累计增长,外商及港澳台投资工业企业亏损企业亏损总额_累计值,外商及港澳台投资工业企业亏损企业亏损总额_上年同期累计值,外商及港澳台投资工业企业亏损企业亏损总额_累计增长,外商及港澳台投资工业企业平均用工人数_累计值,外商及港澳台投资工业企业平均用工人数_上年同期累计值,外商及港澳台投资工业企业平均用工人数_累计增长
2025年5月,40777.0,12748.0,12687.0,0.5,186314.7,179764.0,3.6,57150.3,53058.3,7.7,31571.7,32166.7,-1.8,11615.0,11750.9,-1.2,315126.9,306190.4,2.9,166106.9,160830.0,3.3,149020.0,145360.4,2.5,103576.8,102962.4,0.6,87146.3,86785.8,0.4,3037.7,3129.9,-2.9,3680.8,3637.5,1.2,303.5,197.8,53.4,579.0,537.2,7.8,6756.0,6702.5,0.8,6856.8,6833.9,0.3,1367.1,1446.4,-5.5,1317.3,1341.5,-1.8
2025年4月,40775.0,13117.0,13403.0,-2.1,186936.3,178949.6,4.5,56084.7,51636.5,8.6,31473.3,31957.7,-1.5,11590.8,11742.3,-1.3,314615.1,305008.3,3.1,165957.0,159846.9,3.8,148658.1,145161.4,2.4,82441.1,81701.3,0.9,69417.3,68912.8,0.7,2406.1,2498.7,-3.7,2946.6,2904.2,1.5,197.6,148.8,32.8,391.8,369.9,5.9,5333.9,5202.7,2.5,5429.2,5295.2,2.5,1088.1,1215.5,-10.5,1318.4,1339.0,-1.5
2025年3月,40959.0,14716.0,15194.0,-3.1,184661.2,178975.2,3.2,55445.6,51052.9,8.6,30986.9,31401.2,-1.3,11479.1,11548.3,-0.6,313474.9,306016.5,2.4,164818.0,160172.4,2.9,148656.9,145844.1,1.9,61735.9,60739.2,1.6,52051.6,51258.7,1.5,1807.7,1872.2,-3.4,2236.7,2225.2,0.5,185.1,115.4,60.4,254.8,233.4,9.2,3824.6,3710.5,3.1,3883.5,3778.1,2.8,863.3,994.7,-13.2,1320.0,1336.7,-1.2
2025年2月,40961.0,15272.0,15289.0,-0.1,180775.8,177318.4,1.9,54046.7,50535.1,6.9,31103.5,31370.5,-0.9,11343.7,11300.4,0.4,309671.7,304708.9,1.6,162131.3,158698.6,2.2,147540.4,146010.3,1.0,38701.1,38272.4,1.1,32703.6,32434.7,0.8,1148.5,1196.1,-4.0,1397.9,1418.3,-1.4,142.9,81.3,75.8,110.7,91.0,21.6,2269.2,2151.1,5.5,2304.6,2196.1,4.9,688.0,786.9,-12.6,1314.3,1331.5,-1.3
2024年12月,41679.0,10099.0,10335.0,-2.3,185235.9,180464.9,2.6,57232.8,53244.1,7.5,31369.8,31420.5,-0.2,11769.8,11683.1,0.7,316345.7,308569.5,2.5,167140.1,162790.5,2.7,149205.6,145779.0,2.4,267855.8,269089.8,-0.5,226138.1,227033.1,-0.4,7851.2,8126.7,-3.4,9429.9,9346.7,0.9,475.9,600.2,-20.7,2134.8,2083.3,2.5,17363.9,17598.9,-1.3,17637.9,17940.9,-1.7,3445.7,2939.8,17.2,1360.8,1403.3,-3.0
2024年11月,41715.0,11069.0,11421.0,-3.1,189806.5,183782.7,3.3,60362.8,55384.1,9.0,32217.0,32600.6,-1.2,11988.0,11923.8,0.5,319089.1,310548.9,2.8,170367.6,164345.4,3.7,148721.5,146203.5,1.7,241924.0,243792.0,-0.8,204458.1,205908.8,-0.7,7174.2,7384.2,-2.8,8318.7,8284.9,0.4,487.8,571.1,-14.6,1808.9,1604.3,12.8,15829.4,15953.8,-0.8,16062.9,16191.8,-0.8,2930.7,2636.1,11.2,1359.7,1400.9,-2.9
2024年10月,41663.0,11552.0,11907.0,-3.0,188169.3,182932.6,2.9,60110.3,55482.5,8.3,32264.3,32578.9,-1.0,11922.5,11784.9,1.2,317678.9,309510.6,2.6,169476.5,164415.1,3.1,148202.4,145095.5,2.1,218572.2,219953.4,-0.6,184690.9,186055.1,-0.7,6518.4,6667.6,-2.2,7584.2,7491.6,1.2,540.8,420.7,28.5,1722.3,1496.5,15.1,14351.5,14214.1,1.0,14559.0,14429.9,0.9,2582.8,2568.0,0.6,1360.1,1402.8,-3.0
2024年9月,41594.0,11834.0,12331.0,-4.0,186080.3,181905.3,2.3,58893.9,54421.9,8.2,32215.3,32253.2,-0.1,11995.2,11694.8,2.6,315036.3,307780.3,2.4,167656.4,163241.0,2.7,147379.9,144539.3,2.0,195751.4,196579.0,-0.4,165212.2,166256.7,-0.6,5895.4,6026.9,-2.2,6826.3,6739.1,1.3,637.5,362.7,75.8,1580.4,1373.8,15.0,12852.3,12664.9,1.5,13036.4,12849.4,1.5,2384.5,2360.4,1.0,1360.3,1405.6,-3.2
2024年8月,41619.0,11896.0,12648.0,-5.9,184992.4,180476.4,2.5,57720.8,53039.5,8.8,32915.5,33192.6,-0.8,12447.6,12194.5,2.1,312980.1,305677.4,2.4,165701.1,161929.1,2.3,147279.0,143748.3,2.5,171964.5,171757.3,0.1,145090.1,145435.4,-0.2,5208.5,5316.4,-2.0,5976.5,5888.9,1.5,440.7,344.2,28.0,1503.4,1209.6,24.3,11595.2,10850.0,6.9,11777.0,11019.2,6.9,2076.0,2246.8,-7.6,1361.1,1408.5,-3.4
2024年7月,41615.0,12114.0,13194.0,-8.2,183515.6,178463.1,2.8,56295.5,52518.4,7.2,32702.3,33157.2,-1.4,12198.8,12142.8,0.5,311596.2,303205.2,2.8,164778.2,160394.0,2.7,146818.0,142811.2,2.8,149668.1,148985.1,0.5,126219.0,126295.2,-0.1,4543.8,4632.2,-1.9,5239.4,5140.4,1.9,300.1,330.6,-9.2,1109.9,946.8,17.2,10008.4,9109.7,9.9,10184.9,9270.6,9.9,1802.5,2046.3,-11.9,1359.3,1410.2,-3.6
2024年6月,41640.0,12709.0,13892.0,-8.5,182441.7,177345.9,2.9,55406.6,52053.7,6.4,32094.0,32767.0,-2.1,11896.7,12039.8,-1.2,309383.3,301240.7,2.7,164313.7,159774.3,2.8,145069.6,141466.4,2.5,127493.4,126801.6,0.5,107538.5,107645.5,-0.1,3884.6,3951.1,-1.7,4495.7,4397.3,2.2,232.9,166.6,39.8,896.4,824.8,8.7,8462.6,7620.8,11.0,8614.9,7759.7,11.0,1594.5,1840.9,-13.4,1353.9,1408.3,-3.9
