时间,服装鞋帽、针、纺织品类商品零售类值_当期值,服装鞋帽、针、纺织品类商品零售类值_累计值,服装鞋帽、针、纺织品类商品零售类值_同比增长,服装鞋帽、针、纺织品类商品零售类值_累计增长,服装类商品零售类值_当期值,服装类商品零售类值_累计值,服装类商品零售类值_同比增长,服装类商品零售类值_累计增长
2025年5月,1225.4,6138.4,4.0,3.3,857.6,4435.4,3.5,2.6
2025年4月,1087.8,4938.8,2.2,3.1,776.3,3598.5,1.5,2.5
2025年3月,1240.5,3869.3,3.6,3.4,883.5,2835.1,3.0,2.7
2024年12月,1629.4,14690.5,-0.3,0.3,1228.6,10716.2,0.4,0.1
2024年11月,1480.5,13073.1,-4.5,0.4,1095.5,9493.0,-4.5,0.0
2024年10月,1346.5,11570.8,8.0,1.1,991.9,8377.3,7.2,0.6
2024年9月,1168.8,10224.7,-0.4,0.2,844.5,7390.9,-0.3,-0.2
2024年8月,994.0,9046.4,-1.6,0.3,707.8,6544.6,-1.9,-0.2
2024年7月,935.7,8033.2,-5.2,0.5,660.1,5818.8,-5.6,0.1
2024年6月,1236.8,7098.3,-1.9,1.3,873.3,5156.3,-2.2,0.8
2025年2月,,2624.1,,3.3,,1947.1,,2.6
