时间,食品类居民消费价格指数(上年同期=100),粮食类居民消费价格指数(上年同期=100),畜肉类居民消费价格指数(上年同期=100),蛋类居民消费价格指数(上年同期=100),水产品类居民消费价格指数(上年同期=100),鲜菜类居民消费价格指数(上年同期=100),鲜果类居民消费价格指数(上年同期=100),食用油居民消费价格指数(上年同期=100),猪肉居民消费价格指数(上年同期=100),牛肉居民消费价格指数(上年同期=100),羊肉居民消费价格指数(上年同期=100),奶类居民消费价格指数(上年同期=100),卷烟居民消费价格指数(上年同期=100),酒类居民消费价格指数(上年同期=100)
2025年6月,99.1,98.7,99.6,97.5,100.8,94.7,102.7,98.0,103.8,93.1,95.6,98.6,100.3,98.0
2025年5月,99.0,98.6,100.4,98.5,100.3,93.8,102.0,98.0,106.5,91.4,95.1,98.5,100.3,98.0
2025年4月,98.9,98.6,100.3,99.0,99.7,94.3,101.2,97.9,107.3,89.4,94.6,98.5,100.4,98.0
2025年3月,98.5,98.6,100.2,98.9,99.1,94.1,99.9,97.8,108.1,87.6,94.1,98.4,100.4,97.9
2025年2月,98.5,98.6,100.4,99.0,98.7,94.5,99.4,97.8,108.8,86.8,93.9,98.4,100.4,97.8
2025年1月,,98.6,102.5,100.7,101.2,102.4,100.6,,,,,,,
2024年9月,98.8,100.2,98.9,94.5,100.9,103.3,95.3,95.3,105.8,89.1,93.7,98.4,101.1,98.7
2024年8月,98.3,100.3,98.3,94.3,100.8,100.9,94.0,95.2,104.4,89.4,93.7,98.5,101.1,98.8
2024年7月,97.7,100.4,97.5,94.0,100.7,98.1,92.7,95.1,102.7,89.7,93.8,98.5,101.2,98.8
2024年6月,97.3,100.5,96.4,92.9,100.6,97.3,92.2,94.9,100.0,90.1,93.8,98.6,101.2,98.9
2024年12月,99.4,99.9,99.8,95.6,101.0,105.0,96.5,95.6,107.7,88.4,93.9,98.4,101.0,98.6
2024年11月,99.4,100.0,99.6,95.2,101.0,105.4,96.4,95.5,107.3,88.6,93.8,98.4,101.0,98.7
2024年10月,99.2,100.1,99.3,94.8,101.0,105.0,96.1,95.4,106.6,88.8,93.8,98.4,101.1,98.7
