时间,货币和准货币(M2)供应量_期末值,货币和准货币(M2)供应量_同比增长,货币(M1)供应量_期末值,货币(M1)供应量_同比增长,流通中现金(M0)供应量_期末值,流通中现金(M0)供应量_同比增长
2025年5月,3257838.11,7.92880060929995,1089147.65,2.32589809571858,131258.52,12.126661673332
2025年4月,3251739.32,7.96155243335729,1091407.33,1.51833066067396,131387.01,11.9993129347702
2025年3月,3260554.57,6.97525416540658,1134863.1,1.55983401241954,130691.86,11.5018364395681
2025年2月,3205173.24,6.99700097774617,1094370.01,0.110872353310318,132756.61,9.70720336752529
2025年1月,3185247.18,7.02215761295875,1124457.45,0.387230832410809,142254.48,17.1797288501163
2024年12月,3135322.3,7.27437,670959.41,-1.408157,128194.16,13.001513
2024年11月,3119587.27,7.128161,650904.16,-3.698642,124180.26,12.660519
2024年10月,3097092.01,7.45299668674694,633357.47,-6.12699581902115,122447.04,12.7864829800668
2024年9月,3094798.24,6.84026398950342,628236.54,-7.40033604854286,121830.0,11.5115874845611
2024年8月,3050461.27,6.3,630238.09,-7.1,119472.57,12.2
2024年7月,3033060.78,6.3,632296.54,-6.6,118840.46,12.0
2024年6月,3050161.54,6.2,660610.52,-5.0,117736.77,11.7
