时间,生活资料工业生产者出厂价格指数(上年同月=100),食品类工业生产者出厂价格指数(上年同月=100),衣着类工业生产者出厂价格指数(上年同月=100),一般日用品类工业生产者出厂价格指数(上年同月=100),耐用消费品类工业生产者出厂价格指数(上年同月=100)
2025年6月,98.6,98.0,100.1,100.8,97.3
2025年5月,98.6,98.6,100.0,100.6,96.7
2025年4月,98.4,98.6,99.9,100.6,96.3
2025年3月,98.5,98.6,99.7,100.7,96.6
2025年2月,98.8,98.4,99.8,100.9,97.5
2025年1月,98.8,98.6,99.9,100.5,97.4
2024年9月,98.7,98.4,99.7,99.7,97.9
2024年8月,98.9,98.7,99.6,100.0,98.1
2024年7月,99.0,99.3,99.5,99.7,98.0
2024年6月,99.2,99.8,100.0,99.9,97.9
2024年12月,98.6,98.6,99.9,100.6,96.9
2024年11月,98.6,98.5,99.7,100.2,97.3
2024年10月,98.4,98.4,99.6,100.1,96.9
