时间,采矿、冶金、建筑专用设备制造工业生产者出厂价格指数(上年同月=100),化工、木材、非金属加工专用设备制造工业生产者出厂价格指数(上年同月=100),食品、饮料、烟草及饲料生产专用设备制造工业生产者出厂价格指数(上年同月=100),印刷、制药、日化及日用品生产专用设备制造工业生产者出厂价格指数(上年同月=100),纺织、服装和皮革加工专用设备制造工业生产者出厂价格指数(上年同月=100),电子和电工机械专用设备制造工业生产者出厂价格指数(上年同月=100),农、林、牧、渔专用机械制造工业生产者出厂价格指数(上年同月=100),医疗仪器设备及器械制造工业生产者出厂价格指数(上年同月=100),环保、邮政、社会公共服务及其他专用设备制造工业生产者出厂价格指数(上年同月=100)
2025年6月,98.9,98.0,100.0,100.6,100.8,98.0,98.7,99.0,98.1
2025年5月,98.4,98.3,100.5,100.4,101.4,97.9,99.7,99.0,97.9
2025年4月,98.4,98.8,100.4,99.7,100.0,97.6,99.7,99.0,98.2
2025年3月,98.6,98.3,100.1,99.8,99.9,98.0,99.5,99.0,98.1
2025年2月,98.5,98.6,100.0,99.3,101.3,98.6,99.4,99.2,98.0
2025年1月,98.1,98.6,100.5,98.6,101.3,98.4,99.5,99.1,97.1
2024年12月,98.1,99.1,100.6,99.5,100.6,98.9,99.8,99.0,98.4
2024年11月,98.4,98.7,100.7,99.7,100.0,98.8,99.8,98.9,98.3
2024年10月,98.6,98.4,100.7,99.7,99.5,99.2,99.7,98.4,98.8
2024年9月,98.6,98.4,100.6,100.1,100.4,98.8,99.6,99.7,98.8
2024年8月,98.8,98.7,100.7,100.3,101.4,98.9,99.9,99.9,98.8
2024年7月,99.0,98.8,100.9,100.8,100.3,98.8,99.8,99.4,99.0
2024年6月,99.3,98.6,100.5,100.3,100.4,98.3,100.1,99.6,99.1
