时间,商业营业用房销售面积_累计值,商业营业用房销售面积_累计增长,商业营业用房现房销售面积_累计值,商业营业用房现房销售面积_累计增长,商业营业用房期房销售面积_累计值,商业营业用房期房销售面积_累计增长
2025年6月,2696.55,-4.8,1440.43,0.6,1256.12,-10.4
2025年5月,2049.58,-6.0,1114.15,2.6,935.43,-14.4
2025年4月,1644.05,-6.4,892.13,1.2,751.91,-14.1
2025年3月,1262.018,-8.1,690.1605,2.2,571.8575,-18.0
2025年2月,585.0955,-15.8,312.9108,-10.8,272.1847,-21.0
2024年9月,4286.0566,-4.8,2171.019,12.7,2115.0376,-17.8
2024年8月,3600.5375,-6.2,1816.1797,9.4,1784.3578,-18.1
2024年7月,3219.943,-5.7,1620.6584,10.4,1599.2846,-17.9
2024年6月,2852.5507,-3.5,1444.0769,12.7,1408.4738,-15.9
2024年12月,5986.2528,-5.9,3073.2281,10.6,2913.0247,-18.6
2024年11月,5203.7248,-5.3,2673.2113,12.6,2530.5135,-18.9
2024年10月,4672.7233,-6.0,2373.1909,11.2,2299.5324,-19.0
