时间,大中型国有控股工业企业单位数_本月末,大中型国有控股工业企业亏损企业数_本月末,大中型国有控股工业企业亏损企业数_上年同期,大中型国有控股工业企业亏损企业数_增减,大中型国有控股工业企业流动资产合计_本月末,大中型国有控股工业企业流动资产合计_上年同期,大中型国有控股工业企业流动资产合计_增减,大中型国有控股工业企业应收账款_本月末,大中型国有控股工业企业应收账款_上年同期,大中型国有控股工业企业应收账款_增减,大中型国有控股工业企业存货_本月末,大中型国有控股工业企业存货_上年同期,大中型国有控股工业企业存货_增减,大中型国有控股工业企业产成品存货_本月末,大中型国有控股工业企业产成品存货_上年同期,大中型国有控股工业企业产成品存货_增减,大中型国有控股工业企业资产总计_本月末,大中型国有控股工业企业资产总计_上年同期,大中型国有控股工业企业资产总计_增减,大中型国有控股工业企业负债合计_本月末,大中型国有控股工业企业负债合计_上年同期,大中型国有控股工业企业负债合计_增减,大中型国有控股工业企业所有者权益合计_本月末,大中型国有控股工业企业所有者权益合计_上年同期,大中型国有控股工业企业所有者权益合计_增减,大中型国有控股工业企业营业收入_累计值,大中型国有控股工业企业营业收入_上年同期累计值,大中型国有控股工业企业营业收入_累计增长,大中型国有控股工业企业营业成本_累计值,大中型国有控股工业企业营业成本_上年同期累计值,大中型国有控股工业企业营业成本_累计增长,大中型国有控股工业企业销售费用_累计值,大中型国有控股工业企业销售费用_上年同期累计值,大中型国有控股工业企业销售费用_累计增长,大中型国有控股工业企业管理费用_累计值,大中型国有控股工业企业管理费用_上年同期累计值,大中型国有控股工业企业管理费用_累计增长,大中型国有控股工业企业财务费用_累计值,大中型国有控股工业企业财务费用_上年同期累计值,大中型国有控股工业企业财务费用_累计增长,大中型国有控股工业企业投资收益_累计值,大中型国有控股工业企业投资收益_上年同期累计值,大中型国有控股工业企业投资收益_累计增长,大中型国有控股工业企业营业利润_累计值,大中型国有控股工业企业营业利润_上年同期累计值,大中型国有控股工业企业营业利润_累计增长,大中型国有控股工业企业利润总额_累计值,大中型国有控股工业企业利润总额_上年同期累计值,大中型国有控股工业企业利润总额_累计增长,大中型国有控股工业企业亏损企业亏损总额_累计值,大中型国有控股工业企业亏损企业亏损总额_上年同期累计值,大中型国有控股工业企业亏损企业亏损总额_累计增长,大中型国有控股工业企业平均用工人数_累计值,大中型国有控股工业企业平均用工人数_上年同期累计值,大中型国有控股工业企业平均用工人数_累计增长
2025年5月,7013.0,2401.0,2366.0,1.5,183294.7,180307.6,1.7,38388.7,37418.4,2.6,32364.8,32057.0,1.0,8109.7,8201.5,-1.1,511436.1,492144.8,3.9,283342.4,272458.2,4.0,228093.7,219686.6,3.8,121086.8,123763.5,-2.2,100410.7,102138.3,-1.7,1222.1,1346.8,-9.3,2994.5,3050.1,-1.8,1196.3,1259.5,-5.0,1079.8,1178.7,-8.4,7101.7,7845.4,-9.5,7092.3,7768.9,-8.7,1800.8,1889.0,-4.7,990.6,1010.7,-2.0
2025年4月,7004.0,2412.0,2418.0,-0.2,182344.7,179651.7,1.5,37581.1,36781.4,2.2,32187.6,31710.8,1.5,8191.7,8277.5,-1.0,508802.8,489792.8,3.9,281305.6,270994.9,3.8,227497.2,218797.9,4.0,97596.1,99158.4,-1.6,80505.0,81502.9,-1.2,985.5,1094.0,-9.9,2403.3,2434.7,-1.3,958.4,1015.7,-5.6,675.1,753.1,-10.4,5760.7,6159.7,-6.5,5773.7,6123.0,-5.7,1420.9,1507.4,-5.7,991.6,1013.4,-2.2
2025年3月,6989.0,2392.0,2425.0,-1.4,181766.6,178532.8,1.8,38072.5,37100.6,2.6,31708.1,31077.2,2.0,8237.9,8218.6,0.2,507303.9,487756.8,4.0,280702.6,268990.7,4.4,226601.3,218766.1,3.6,74221.5,74914.5,-0.9,60619.8,61081.7,-0.8,745.0,823.9,-9.6,1812.4,1819.2,-0.4,726.7,767.0,-5.3,448.4,515.5,-13.0,4667.0,4841.4,-3.6,4675.0,4798.9,-2.6,1057.2,1173.0,-9.9,992.2,1013.9,-2.1
2025年2月,6979.0,2697.0,2715.0,-0.7,178318.3,176221.6,1.2,36740.9,35500.7,3.5,31927.3,31164.5,2.4,8322.6,8292.5,0.4,503525.6,484949.7,3.8,278113.9,267876.2,3.8,225411.7,217073.5,3.8,48060.3,48295.0,-0.5,38780.7,39035.4,-0.7,485.5,529.0,-8.2,1183.0,1194.7,-1.0,498.5,520.3,-4.2,293.7,244.4,20.2,2930.6,2897.6,1.1,2941.2,2899.7,1.4,825.1,930.9,-11.4,993.6,1012.6,-1.9
2024年12月,7001.0,1871.0,1847.0,1.3,177585.1,175126.7,1.4,34513.7,34369.2,0.4,31468.1,30561.3,3.0,7880.0,7936.4,-0.7,499377.5,481345.3,3.7,276951.8,267607.1,3.5,222425.7,213738.2,4.1,306462.2,308091.4,-0.5,256605.4,255962.3,0.3,3350.2,3755.0,-10.8,8264.8,8391.3,-1.5,2895.9,2980.5,-2.8,4623.5,4471.0,3.4,17956.9,18946.7,-5.2,17630.8,18735.6,-5.9,4869.4,4495.7,8.3,1013.7,1045.4,-3.0
2024年11月,7001.0,2157.0,2129.0,1.3,183880.7,182217.8,0.9,40073.2,38057.0,5.3,32178.1,31526.0,2.1,8016.9,8207.7,-2.3,501924.7,482015.7,4.1,279981.6,270584.0,3.5,221943.1,211431.7,5.0,277270.2,277788.8,-0.2,231565.9,229946.4,0.7,3015.4,3317.1,-9.1,7023.9,7019.8,0.1,2716.9,2822.3,-3.7,3486.7,3615.7,-3.6,16815.5,18663.9,-9.9,16711.2,18597.7,-10.1,4008.2,3626.4,10.5,1012.5,1046.3,-3.2
2024年10月,6986.0,2228.0,2216.0,0.5,181227.4,181157.9,0.0,39508.7,38538.6,2.5,31891.3,31172.2,2.3,8047.2,8119.3,-0.9,497581.4,479459.5,3.8,276472.3,269543.3,2.6,221109.1,209916.2,5.3,251713.8,251574.2,0.1,209834.5,207849.3,1.0,2726.9,2985.2,-8.7,6349.4,6285.5,1.0,2519.3,2590.5,-2.7,2961.5,3049.8,-2.9,15331.0,17001.9,-9.8,15223.7,16979.4,-10.3,3607.4,3303.0,9.2,1010.6,1045.4,-3.3
2024年9月,6963.0,2235.0,2274.0,-1.7,180569.9,178800.3,1.0,39454.2,38350.4,2.9,31076.1,30124.1,3.2,7936.1,7930.4,0.1,494744.4,475399.3,4.1,274646.7,265596.0,3.4,220097.7,209803.3,4.9,226398.4,225283.3,0.5,188263.4,185747.5,1.4,2458.5,2681.3,-8.3,5651.8,5615.5,0.6,2287.0,2349.7,-2.7,2765.1,2892.4,-4.4,14355.9,15592.4,-7.9,14258.6,15582.9,-8.5,3175.1,2924.7,8.6,1008.2,1042.9,-3.3
2024年8月,6955.0,2259.0,2357.0,-4.2,180897.7,178610.4,1.3,40328.4,38586.4,4.5,31593.6,30345.7,4.1,8175.0,7990.6,2.3,493996.6,473649.5,4.3,274414.5,265428.4,3.4,219582.1,208221.1,5.5,200479.5,198189.8,1.2,166554.4,163545.3,1.8,2169.3,2335.3,-7.1,4964.8,4900.4,1.3,2020.0,2104.9,-4.0,2459.3,2154.3,14.2,12892.6,13190.2,-2.3,12810.0,13180.6,-2.8,2786.3,2736.3,1.8,1008.1,1042.4,-3.3
2024年7月,6961.0,2248.0,2382.0,-5.6,180039.5,177177.7,1.6,39515.8,38397.2,2.9,31721.7,30444.3,4.2,8133.7,7989.5,1.8,492835.3,472179.5,4.4,273659.2,265074.3,3.2,219176.1,207105.2,5.8,175402.8,172910.5,1.4,145316.3,142453.4,2.0,1928.1,2044.3,-5.7,4345.1,4295.4,1.2,1756.8,1838.7,-4.5,2293.7,1937.6,18.4,11640.3,11628.9,0.1,11575.1,11621.4,-0.4,2402.0,2480.7,-3.2,1010.3,1043.4,-3.2
2024年6月,6957.0,2176.0,2311.0,-5.8,180275.3,175897.6,2.5,38163.5,36946.1,3.3,31440.8,30346.1,3.6,7924.0,7941.5,-0.2,492275.6,470158.5,4.7,272470.0,263920.4,3.2,219805.6,206238.1,6.6,150143.7,147675.4,1.7,123996.8,121315.3,2.2,1671.0,1762.7,-5.2,3703.7,3647.2,1.5,1504.2,1560.6,-3.6,1925.5,1687.0,14.1,10194.9,10240.3,-0.4,10107.8,10235.4,-1.2,2051.7,2149.3,-4.5,1011.1,1044.9,-3.2
